time,x,y,z,gforce
0.006,-0.344,0.758,0.680,1.075
0.006,-0.354,0.751,0.663,1.062
0.006,-0.353,0.743,0.643,1.044
0.007,-0.359,0.733,0.627,1.029
0.010,-0.360,0.730,0.603,1.012
0.013,-0.357,0.716,0.591,0.994
0.015,-0.352,0.721,0.582,0.991
0.017,-0.338,0.706,0.575,0.971
0.020,-0.331,0.699,0.578,0.966
0.022,-0.318,0.711,0.585,0.974
0.025,-0.295,0.697,0.600,0.966
0.027,-0.274,0.699,0.606,0.965
0.030,-0.255,0.704,0.627,0.976
0.032,-0.225,0.708,0.646,0.984
0.035,-0.202,0.723,0.677,1.011
0.037,-0.182,0.708,0.721,1.027
0.039,-0.151,0.707,0.744,1.037
0.042,-0.121,0.718,0.759,1.052
0.045,-0.084,0.731,0.775,1.068
0.047,-0.054,0.757,0.787,1.093
0.050,-0.021,0.769,0.804,1.112
0.052,0.002,0.794,0.823,1.143
0.055,0.031,0.790,0.861,1.169
0.057,0.057,0.783,0.885,1.183
0.059,0.075,0.778,0.922,1.209
0.063,0.088,0.763,0.933,1.209
0.065,0.108,0.747,0.958,1.220
0.067,0.122,0.730,0.968,1.219
0.069,0.132,0.717,0.970,1.213
0.072,0.139,0.699,0.996,1.225
0.074,0.139,0.692,1.008,1.231
0.077,0.127,0.673,1.012,1.222
0.079,0.095,0.704,1.030,1.251
0.083,0.098,0.672,1.043,1.245
0.084,0.093,0.643,1.044,1.230
0.087,0.082,0.609,1.064,1.228
0.089,0.069,0.582,1.061,1.212
0.092,0.042,0.562,1.068,1.207
0.094,0.027,0.548,1.064,1.197
0.097,0.009,0.524,1.063,1.185
0.099,0.000,0.510,1.068,1.183
0.102,-0.009,0.490,1.078,1.184
0.105,-0.022,0.471,1.060,1.160
0.107,-0.032,0.453,1.056,1.150
0.110,-0.048,0.451,1.038,1.133
0.112,-0.058,0.450,1.031,1.126
0.118,-0.064,0.449,1.022,1.118
0.119,-0.081,0.446,1.008,1.105
0.120,-0.093,0.457,1.008,1.111
0.121,-0.099,0.461,1.007,1.112
