time,x,y,z,gforce
0.031,0.128,0.873,1.234,1.517
0.031,0.139,0.863,1.254,1.529
0.031,0.142,0.867,1.276,1.549
0.031,0.155,0.855,1.287,1.553
0.031,0.151,0.846,1.290,1.550
0.032,0.153,0.844,1.281,1.541
0.032,0.165,0.828,1.249,1.508
0.032,0.175,0.810,1.227,1.481
0.032,0.175,0.801,1.206,1.458
0.032,0.168,0.795,1.184,1.436
0.032,0.168,0.768,1.169,1.409
0.032,0.157,0.761,1.141,1.380
0.033,0.146,0.746,1.121,1.355
0.033,0.136,0.731,1.097,1.325
0.033,0.123,0.731,1.085,1.314
0.035,0.111,0.719,1.061,1.287
0.037,0.107,0.717,1.050,1.277
0.040,0.093,0.716,1.019,1.249
0.042,0.086,0.706,1.002,1.229
0.052,0.077,0.703,0.992,1.218
0.052,0.068,0.693,0.980,1.202
0.052,0.054,0.691,0.966,1.190
0.053,0.047,0.687,0.944,1.169
0.055,0.055,0.687,0.950,1.173
0.057,0.051,0.675,0.928,1.149
0.061,0.054,0.676,0.908,1.133
0.068,0.055,0.672,0.900,1.125
0.068,0.051,0.670,0.900,1.123
0.068,0.056,0.666,0.898,1.119
0.070,0.055,0.673,0.899,1.124
0.072,0.041,0.676,0.920,1.143
0.075,0.049,0.683,0.932,1.157
0.081,0.110,0.651,0.924,1.136
0.081,0.090,0.651,0.950,1.155
0.082,0.055,0.649,0.929,1.135
0.084,0.043,0.654,0.937,1.143
0.087,0.049,0.648,0.955,1.155
0.090,0.061,0.652,0.969,1.170
0.092,0.082,0.654,0.981,1.182
0.094,0.082,0.644,0.994,1.187
0.097,0.091,0.645,1.006,1.198
0.099,0.110,0.639,0.997,1.189
0.102,0.102,0.628,0.983,1.171
0.104,0.053,0.622,0.988,1.169
0.107,-0.122,0.705,0.981,1.214
0.109,-0.604,0.948,0.909,1.446
0.112,-0.374,0.841,0.832,1.241
0.114,-0.167,0.769,0.825,1.140
0.116,-0.015,0.739,0.798,1.088
0.119,0.092,0.711,0.788,1.065
0.121,0.154,0.666,0.777,1.035
0.124,0.199,0.617,0.751,0.993
0.130,0.233,0.574,0.709,0.942
0.130,0.240,0.551,0.709,0.929
0.135,0.248,0.523,0.702,0.910
0.135,0.260,0.500,0.700,0.899
0.137,0.267,0.498,0.680,0.884
0.139,0.260,0.506,0.655,0.867
0.141,0.257,0.513,0.636,0.857
0.144,0.250,0.525,0.622,0.851
0.146,0.247,0.519,0.616,0.843
0.149,0.234,0.517,0.603,0.828
0.151,0.217,0.513,0.588,0.810
0.154,0.194,0.518,0.574,0.797
0.156,0.178,0.533,0.563,0.795
0.159,0.169,0.538,0.551,0.788
0.161,0.162,0.556,0.549,0.797
0.164,0.181,0.591,0.527,0.813
0.166,0.162,0.585,0.519,0.799
0.169,0.118,0.560,0.524,0.775
0.171,0.075,0.556,0.544,0.781
0.173,0.031,0.550,0.540,0.771
0.176,-0.007,0.562,0.524,0.768
0.178,-0.033,0.561,0.523,0.767
0.181,-0.035,0.566,0.527,0.774
0.183,-0.038,0.592,0.521,0.789
0.186,-0.038,0.614,0.501,0.793
0.188,-0.033,0.642,0.507,0.818
0.191,-0.038,0.646,0.516,0.828
0.193,-0.039,0.642,0.517,0.825
0.196,-0.046,0.633,0.550,0.840
0.198,-0.054,0.626,0.564,0.845
0.201,-0.057,0.617,0.599,0.862
0.203,-0.058,0.608,0.618,0.869
0.205,-0.055,0.592,0.646,0.878
0.208,-0.062,0.585,0.660,0.884
0.211,-0.050,0.584,0.679,0.897
0.213,-0.053,0.574,0.702,0.908
0.216,-0.048,0.566,0.713,0.911
0.218,-0.043,0.556,0.716,0.907
0.221,-0.044,0.554,0.721,0.910
0.223,-0.043,0.544,0.713,0.898
0.226,-0.049,0.531,0.716,0.893
0.228,-0.048,0.529,0.713,0.889
0.231,-0.054,0.527,0.715,0.890
0.233,-0.042,0.526,0.710,0.884
0.236,-0.048,0.518,0.692,0.866
0.238,-0.046,0.514,0.690,0.862
0.241,-0.053,0.507,0.672,0.843
0.243,-0.052,0.494,0.651,0.819
0.250,-0.055,0.484,0.638,0.803
0.250,-0.051,0.474,0.623,0.785
0.251,-0.038,0.467,0.606,0.766
0.256,-0.036,0.458,0.591,0.748
0.257,-0.026,0.451,0.576,0.732
0.258,-0.017,0.453,0.568,0.727
0.262,-0.015,0.453,0.547,0.711
0.263,-0.016,0.447,0.549,0.708
0.267,-0.016,0.457,0.550,0.715
0.269,-0.011,0.457,0.557,0.720
0.271,0.001,0.468,0.572,0.739
0.273,-0.002,0.473,0.582,0.750
0.275,0.005,0.475,0.596,0.763
0.282,-0.001,0.483,0.592,0.764
0.283,0.004,0.490,0.596,0.771
0.283,-0.008,0.500,0.592,0.775
0.285,-0.006,0.511,0.594,0.784
0.287,-0.001,0.514,0.588,0.780
0.290,-0.002,0.523,0.587,0.786
0.292,0.009,0.527,0.584,0.786
0.295,0.013,0.541,0.578,0.792
0.297,0.015,0.541,0.583,0.796
0.300,0.008,0.552,0.583,0.803
0.302,0.025,0.553,0.589,0.808
0.305,0.014,0.556,0.583,0.806
0.307,0.019,0.561,0.577,0.805
0.310,0.012,0.566,0.591,0.818
0.312,0.009,0.562,0.585,0.812
0.315,0.007,0.571,0.602,0.829
0.317,0.024,0.577,0.621,0.848
0.320,0.029,0.591,0.630,0.864
0.322,0.030,0.596,0.638,0.874
0.324,0.028,0.606,0.652,0.890
0.327,0.033,0.614,0.651,0.895
0.329,0.046,0.618,0.650,0.898
0.332,0.060,0.600,0.659,0.893
0.334,0.066,0.599,0.652,0.888
0.337,0.067,0.597,0.659,0.892
0.339,0.075,0.588,0.659,0.886
0.342,0.086,0.585,0.655,0.882
0.345,0.096,0.585,0.658,0.886
0.347,0.090,0.604,0.645,0.888
0.349,0.107,0.597,0.656,0.894
0.352,0.109,0.600,0.660,0.899
0.354,0.101,0.610,0.667,0.910
0.356,0.098,0.616,0.672,0.917
0.359,0.089,0.618,0.688,0.929
0.362,0.081,0.627,0.693,0.938
0.364,0.072,0.632,0.692,0.940
0.366,0.062,0.643,0.695,0.948
0.369,0.045,0.652,0.687,0.948
0.371,0.032,0.668,0.690,0.961
0.374,0.022,0.670,0.688,0.960
0.376,0.014,0.690,0.684,0.972
0.384,0.009,0.696,0.675,0.970
0.384,0.007,0.709,0.665,0.972
0.384,-0.014,0.722,0.655,0.975
0.386,-0.030,0.732,0.647,0.977
0.389,-0.046,0.731,0.648,0.978
0.391,-0.064,0.738,0.650,0.986
0.394,-0.076,0.756,0.650,1.000
0.403,-0.082,0.760,0.645,1.001
0.404,-0.093,0.768,0.650,1.010
0.404,-0.086,0.773,0.640,1.007
0.404,-0.086,0.782,0.635,1.011
0.406,-0.082,0.782,0.636,1.012
0.409,-0.071,0.780,0.632,1.007
0.412,-0.053,0.778,0.625,1.000
0.414,-0.046,0.776,0.618,0.993
0.416,-0.042,0.772,0.627,0.995
0.419,-0.028,0.757,0.625,0.982
0.421,-0.023,0.756,0.633,0.986
0.423,-0.006,0.738,0.644,0.979
0.426,0.002,0.739,0.653,0.987
0.429,0.001,0.732,0.662,0.987
0.431,-0.003,0.732,0.670,0.992
0.433,0.007,0.726,0.693,1.004
0.436,0.007,0.729,0.709,1.017
0.438,0.013,0.720,0.726,1.023
0.441,0.008,0.722,0.757,1.046
0.443,0.006,0.716,0.774,1.055
0.446,0.005,0.723,0.782,1.065
0.448,0.014,0.716,0.799,1.073
0.451,0.009,0.725,0.799,1.079
0.453,0.003,0.729,0.802,1.083
0.456,0.011,0.735,0.803,1.089
0.458,0.014,0.738,0.807,1.093
0.460,0.006,0.742,0.817,1.103
0.463,0.004,0.752,0.808,1.104
0.466,-0.004,0.760,0.809,1.110
0.468,-0.001,0.760,0.806,1.108
0.470,-0.015,0.771,0.800,1.111
0.473,-0.023,0.769,0.789,1.102
0.475,-0.027,0.780,0.791,1.112
0.479,-0.036,0.788,0.790,1.117
0.480,-0.045,0.805,0.792,1.130
0.483,-0.046,0.807,0.794,1.133
0.485,-0.045,0.808,0.804,1.141
0.488,-0.049,0.828,0.799,1.151
0.490,-0.044,0.828,0.813,1.162
0.498,-0.048,0.834,0.814,1.166
0.498,-0.043,0.850,0.822,1.183
0.498,-0.044,0.848,0.821,1.181
0.500,-0.051,0.847,0.827,1.185
0.503,-0.052,0.865,0.824,1.196
0.505,-0.049,0.861,0.827,1.195
0.507,-0.051,0.866,0.828,1.199
0.510,-0.061,0.866,0.839,1.208
0.515,-0.066,0.865,0.834,1.203
0.515,-0.061,0.868,0.840,1.209
0.518,-0.065,0.863,0.849,1.212
0.520,-0.070,0.862,0.844,1.208
0.522,-0.053,0.867,0.854,1.219
0.525,-0.056,0.858,0.848,1.208
0.528,-0.056,0.858,0.847,1.207
0.533,-0.052,0.851,0.844,1.200
0.533,-0.040,0.846,0.850,1.200
0.535,-0.032,0.849,0.839,1.195
0.537,-0.026,0.842,0.848,1.195
0.540,-0.016,0.849,0.847,1.200
0.542,-0.019,0.843,0.841,1.190
0.546,-0.014,0.837,0.837,1.184
0.547,-0.018,0.852,0.837,1.195
0.550,-0.028,0.849,0.839,1.194
0.552,-0.030,0.858,0.840,1.201
0.554,-0.035,0.857,0.834,1.196
0.557,-0.043,0.870,0.832,1.205
0.560,-0.048,0.869,0.842,1.211
0.563,-0.055,0.880,0.828,1.209
0.564,-0.064,0.890,0.825,1.215
0.567,-0.072,0.875,0.828,1.206
0.570,-0.070,0.884,0.830,1.215
0.572,-0.075,0.882,0.830,1.213
0.574,-0.076,0.880,0.822,1.206
0.577,-0.072,0.884,0.821,1.209
0.579,-0.075,0.880,0.817,1.203
0.582,-0.074,0.874,0.808,1.192
0.584,-0.076,0.875,0.810,1.195
0.587,-0.082,0.879,0.815,1.202
0.589,-0.079,0.871,0.812,1.194
0.592,-0.077,0.879,0.823,1.206
0.594,-0.072,0.864,0.826,1.198
0.597,-0.073,0.871,0.833,1.208
0.599,-0.072,0.864,0.836,1.205
0.602,-0.064,0.866,0.843,1.210
0.604,-0.060,0.866,0.854,1.218
0.606,-0.048,0.856,0.881,1.229
0.609,-0.043,0.854,0.906,1.245
0.611,-0.046,0.847,0.917,1.249
0.614,-0.046,0.845,0.929,1.257
0.617,-0.044,0.839,0.956,1.273
0.619,-0.054,0.834,0.964,1.276
0.621,-0.054,0.825,0.968,1.273
0.624,-0.065,0.813,0.988,1.282
0.626,-0.059,0.806,1.002,1.287
0.634,-0.055,0.787,1.010,1.282
0.635,-0.055,0.778,1.007,1.274
0.637,-0.051,0.767,1.011,1.270
0.637,-0.053,0.752,1.022,1.270
0.639,-0.044,0.737,1.020,1.259
0.642,-0.046,0.728,1.001,1.238
0.644,-0.043,0.724,1.000,1.235
0.654,-0.050,0.719,0.992,1.226
0.654,-0.050,0.719,0.993,1.227
0.655,-0.037,0.713,1.002,1.230
0.655,-0.023,0.706,1.030,1.249
0.656,-0.013,0.698,1.051,1.262
0.659,0.010,0.688,1.062,1.265
0.661,0.020,0.681,1.081,1.278
0.664,0.026,0.673,1.085,1.277
0.666,0.020,0.677,1.089,1.282
0.669,0.024,0.667,1.080,1.269
0.671,0.020,0.671,1.081,1.273
0.673,0.024,0.670,1.074,1.266
0.676,0.028,0.669,1.059,1.253
0.678,0.025,0.669,1.055,1.250
0.681,0.021,0.664,1.054,1.246
0.683,0.024,0.656,1.049,1.238
0.686,0.021,0.654,1.042,1.231
0.688,0.026,0.645,1.028,1.214
0.691,0.014,0.636,1.030,1.211
0.693,0.018,0.632,1.021,1.201
0.696,0.015,0.627,1.002,1.182
0.698,0.008,0.619,0.991,1.169
0.701,-0.001,0.617,0.975,1.154
0.703,-0.012,0.603,0.972,1.144
0.705,-0.022,0.603,0.958,1.132
0.708,-0.033,0.601,0.955,1.129
0.711,-0.045,0.601,0.943,1.119
0.713,-0.053,0.596,0.914,1.092
0.715,-0.056,0.593,0.897,1.077
