time,x,y,z,gforce
0.013,-0.062,0.430,0.626,0.762
0.013,-0.041,0.416,0.611,0.740
0.013,-0.042,0.400,0.615,0.735
0.013,-0.051,0.405,0.619,0.741
0.013,-0.157,0.435,0.608,0.764
0.014,-0.296,0.485,0.607,0.831
0.015,-0.244,0.491,0.636,0.839
0.017,-0.220,0.476,0.666,0.848
0.020,-0.314,0.525,0.694,0.925
0.022,-0.312,0.525,0.686,0.919
0.025,-0.311,0.497,0.739,0.943
0.027,-0.410,0.529,0.744,1.001
0.030,-0.447,0.560,0.755,1.041
0.032,-0.464,0.598,0.793,1.097
0.035,-0.436,0.627,0.820,1.120
0.037,-0.394,0.627,0.834,1.116
0.039,-0.370,0.615,0.849,1.112
0.042,-0.357,0.593,0.845,1.092
0.044,-0.351,0.561,0.833,1.065
0.047,-0.346,0.539,0.807,1.030
0.050,-0.345,0.514,0.778,0.994
0.052,-0.334,0.494,0.737,0.948
0.054,-0.330,0.496,0.711,0.928
0.057,-0.321,0.503,0.673,0.899
0.059,-0.304,0.509,0.662,0.889
0.064,-0.309,0.524,0.646,0.888
0.066,-0.318,0.523,0.649,0.892
0.067,-0.325,0.533,0.655,0.905
0.070,-0.332,0.537,0.670,0.921
0.072,-0.338,0.535,0.666,0.919
0.074,-0.348,0.542,0.658,0.921
0.078,-0.356,0.540,0.668,0.930
0.080,-0.358,0.539,0.664,0.927
0.083,-0.360,0.537,0.673,0.933
0.084,-0.363,0.534,0.682,0.939
0.087,-0.363,0.534,0.689,0.944
0.089,-0.367,0.547,0.704,0.965
0.092,-0.366,0.535,0.715,0.965
0.094,-0.364,0.539,0.737,0.983
0.097,-0.370,0.540,0.745,0.992
0.099,-0.359,0.539,0.757,0.996
0.102,-0.367,0.546,0.773,1.015
0.104,-0.361,0.546,0.783,1.020
0.107,-0.363,0.546,0.797,1.032
0.109,-0.362,0.542,0.801,1.033
0.112,-0.354,0.538,0.802,1.029
0.114,-0.349,0.536,0.805,1.028
0.118,-0.350,0.532,0.803,1.025
0.119,-0.343,0.529,0.808,1.024
0.121,-0.334,0.516,0.805,1.012
0.124,-0.325,0.520,0.797,1.006
0.126,-0.319,0.516,0.805,1.008
0.129,-0.312,0.510,0.796,0.996
0.135,-0.307,0.515,0.792,0.993
0.135,-0.306,0.509,0.793,0.991
0.136,-0.294,0.508,0.785,0.980
0.139,-0.293,0.506,0.786,0.980
0.141,-0.285,0.512,0.780,0.976
0.144,-0.273,0.512,0.774,0.967
0.146,-0.261,0.501,0.769,0.954
0.149,-0.256,0.503,0.761,0.947
0.151,-0.247,0.504,0.764,0.948
0.154,-0.238,0.500,0.763,0.943
0.156,-0.227,0.497,0.757,0.934
0.159,-0.234,0.490,0.753,0.928
0.161,-0.229,0.483,0.748,0.919
0.164,-0.232,0.479,0.743,0.914
0.166,-0.232,0.480,0.745,0.916
0.168,-0.228,0.489,0.738,0.914
0.171,-0.229,0.486,0.732,0.908
0.174,-0.231,0.481,0.735,0.908
0.176,-0.233,0.488,0.735,0.912
0.179,-0.240,0.489,0.723,0.905
0.181,-0.238,0.485,0.719,0.899
0.184,-0.242,0.491,0.707,0.895
0.186,-0.235,0.488,0.711,0.894
0.188,-0.235,0.487,0.703,0.887
0.191,-0.233,0.484,0.698,0.881
0.193,-0.236,0.487,0.701,0.885
0.196,-0.240,0.480,0.698,0.880
0.199,-0.243,0.478,0.696,0.879
0.201,-0.253,0.477,0.705,0.888
0.203,-0.260,0.464,0.708,0.885
0.206,-0.356,0.415,0.721,0.905
0.208,-0.447,0.381,0.761,0.961
0.211,-0.448,0.407,0.802,1.005
0.213,-0.372,0.441,0.806,0.991
0.216,-0.282,0.485,0.801,0.978
0.218,-0.196,0.516,0.792,0.965
0.221,-0.138,0.537,0.778,0.955
0.223,-0.121,0.539,0.763,0.942
0.225,-0.126,0.536,0.767,0.944
0.228,-0.158,0.518,0.769,0.941
0.230,-0.189,0.491,0.777,0.938
0.233,-0.221,0.474,0.792,0.949
0.235,-0.244,0.463,0.799,0.955
0.238,-0.269,0.455,0.815,0.972
0.240,-0.280,0.446,0.823,0.977
0.243,-0.286,0.440,0.832,0.984
0.245,-0.286,0.443,0.820,0.975
0.248,-0.273,0.442,0.812,0.964
0.256,-0.254,0.450,0.800,0.952
0.257,-0.233,0.469,0.790,0.948
0.257,-0.222,0.471,0.792,0.948
0.258,-0.208,0.473,0.786,0.940
0.260,-0.214,0.477,0.770,0.931
0.263,-0.204,0.473,0.757,0.916
0.266,-0.212,0.486,0.743,0.913
0.273,-0.213,0.481,0.736,0.904
0.273,-0.223,0.473,0.729,0.898
0.273,-0.223,0.483,0.720,0.895
0.281,-0.238,0.483,0.723,0.901
0.281,-0.242,0.487,0.718,0.900
0.282,-0.248,0.484,0.727,0.908
0.284,-0.251,0.483,0.738,0.917
0.285,-0.258,0.485,0.747,0.927
0.288,-0.249,0.472,0.754,0.923
0.290,-0.243,0.474,0.761,0.929
0.293,-0.243,0.471,0.782,0.945
0.298,-0.225,0.467,0.799,0.952
0.301,-0.214,0.465,0.805,0.954
0.302,-0.207,0.459,0.828,0.969
0.303,-0.202,0.456,0.842,0.978
0.306,-0.196,0.447,0.849,0.979
0.307,-0.188,0.444,0.870,0.995
