time,x,y,z,gforce
0.006,-0.003,0.529,0.592,0.794
0.007,0.016,0.531,0.574,0.782
0.007,0.027,0.516,0.560,0.762
0.008,0.042,0.503,0.554,0.750
0.010,0.042,0.501,0.560,0.753
0.013,0.045,0.484,0.566,0.746
0.018,0.042,0.481,0.577,0.752
0.019,0.032,0.478,0.599,0.767
0.021,0.027,0.480,0.625,0.789
0.023,0.021,0.475,0.641,0.799
0.026,0.014,0.485,0.664,0.823
0.028,0.005,0.494,0.695,0.852
0.031,-0.011,0.502,0.728,0.884
0.033,-0.031,0.510,0.755,0.912
0.036,-0.040,0.524,0.781,0.941
0.038,-0.046,0.532,0.802,0.963
0.040,-0.042,0.544,0.811,0.978
0.043,-0.034,0.549,0.835,1.000
0.045,-0.040,0.554,0.841,1.008
0.048,-0.036,0.566,0.837,1.011
0.051,-0.030,0.571,0.836,1.013
0.053,-0.041,0.574,0.836,1.015
0.055,-0.046,0.577,0.827,1.009
0.058,-0.049,0.577,0.817,1.001
0.060,-0.044,0.590,0.806,1.000
0.063,-0.040,0.582,0.789,0.981
0.066,-0.051,0.568,0.782,0.967
0.068,-0.071,0.556,0.783,0.963
0.070,-0.104,0.564,0.781,0.969
0.073,-0.129,0.582,0.770,0.974
0.075,-0.139,0.596,0.740,0.960
0.077,-0.139,0.607,0.715,0.948
0.080,-0.129,0.605,0.690,0.926
0.083,-0.115,0.594,0.658,0.894
0.085,-0.107,0.600,0.629,0.876
0.088,-0.098,0.586,0.611,0.852
0.090,-0.094,0.579,0.589,0.831
0.092,-0.087,0.576,0.581,0.823
0.095,-0.086,0.575,0.587,0.826
0.097,-0.082,0.575,0.578,0.819
0.100,-0.071,0.561,0.580,0.810
0.102,-0.066,0.575,0.580,0.820
0.105,-0.051,0.572,0.583,0.818
0.107,-0.045,0.577,0.591,0.827
0.110,-0.039,0.578,0.596,0.831
0.112,-0.025,0.576,0.621,0.847
0.115,-0.023,0.574,0.641,0.861
0.118,0.076,0.620,0.673,0.918
0.123,0.033,0.602,0.675,0.905
0.123,-0.018,0.577,0.699,0.906
0.125,-0.075,0.564,0.723,0.921
0.127,-0.114,0.560,0.752,0.944
0.130,-0.150,0.559,0.770,0.963
0.133,-0.172,0.557,0.771,0.967
0.135,-0.187,0.553,0.758,0.956
0.137,-0.198,0.557,0.756,0.960
0.140,-0.206,0.562,0.753,0.962
0.142,-0.215,0.561,0.756,0.965
0.144,-0.242,0.452,0.808,0.957
0.147,-0.227,0.532,0.767,0.961
0.150,-0.202,0.541,0.765,0.959
0.152,-0.217,0.468,0.759,0.918
0.155,-0.213,0.474,0.768,0.927
0.157,-0.154,0.539,0.741,0.929
