time,x,y,z,gforce
0.013,-0.064,0.557,0.523,0.767
0.013,-0.067,0.581,0.549,0.802
0.014,-0.064,0.580,0.580,0.823
0.014,-0.077,0.588,0.613,0.853
0.014,-0.086,0.598,0.650,0.887
0.014,-0.097,0.613,0.686,0.925
0.020,-0.122,0.617,0.730,0.963
0.021,-0.154,0.629,0.760,0.998
0.021,-0.181,0.640,0.791,1.034
0.023,-0.202,0.651,0.824,1.069
0.025,-0.213,0.660,0.853,1.099
0.028,-0.218,0.664,0.868,1.114
0.030,-0.218,0.664,0.883,1.126
0.033,-0.208,0.663,0.902,1.139
0.035,-0.193,0.669,0.917,1.151
0.038,-0.186,0.668,0.935,1.164
0.040,-0.175,0.664,0.942,1.166
0.043,-0.166,0.667,0.942,1.166
0.047,-0.164,0.657,0.940,1.158
0.048,-0.164,0.645,0.933,1.146
0.050,-0.163,0.657,0.923,1.144
0.053,-0.158,0.645,0.911,1.128
0.055,-0.156,0.642,0.894,1.111
0.058,-0.154,0.644,0.870,1.093
0.060,-0.151,0.652,0.847,1.079
0.064,-0.165,0.677,0.826,1.080
0.065,-0.172,0.673,0.802,1.061
0.068,-0.161,0.665,0.807,1.057
0.070,-0.152,0.635,0.801,1.034
0.073,-0.149,0.629,0.786,1.018
0.075,-0.145,0.628,0.786,1.016
0.078,-0.140,0.624,0.780,1.008
0.080,-0.136,0.603,0.797,1.009
0.082,-0.115,0.601,0.814,1.018
0.085,-0.117,0.580,0.820,1.011
0.087,-0.109,0.564,0.845,1.021
0.090,-0.112,0.557,0.854,1.025
0.092,-0.115,0.559,0.854,1.027
0.095,-0.106,0.550,0.888,1.050
0.099,-0.097,0.548,0.908,1.065
0.102,-0.088,0.540,0.916,1.067
0.102,-0.086,0.562,0.914,1.077
0.105,-0.081,0.565,0.914,1.078
0.107,-0.080,0.572,0.910,1.077
0.110,-0.081,0.580,0.925,1.095
0.112,-0.074,0.596,0.929,1.106
0.115,-0.061,0.596,0.940,1.115
0.117,-0.054,0.609,0.928,1.111
0.120,-0.036,0.614,0.920,1.107
0.122,-0.021,0.626,0.916,1.110
0.124,-0.011,0.623,0.897,1.092
0.127,0.001,0.636,0.888,1.093
0.130,0.011,0.635,0.883,1.088
0.132,0.023,0.634,0.882,1.087
0.135,0.026,0.630,0.881,1.084
0.137,0.032,0.622,0.877,1.076
0.139,0.045,0.622,0.869,1.070
0.142,0.047,0.631,0.856,1.065
0.144,0.044,0.645,0.842,1.062
