time,x,y,z,gforce
0.013,-0.551,0.474,0.557,0.916
0.013,-0.550,0.459,0.531,0.892
0.013,-0.533,0.447,0.516,0.866
0.013,-0.524,0.448,0.497,0.850
0.013,-0.510,0.429,0.471,0.816
0.014,-0.500,0.426,0.451,0.796
0.015,-0.488,0.419,0.430,0.774
0.017,-0.467,0.424,0.397,0.746
0.020,-0.458,0.424,0.372,0.727
0.022,-0.448,0.422,0.357,0.712
0.025,-0.443,0.430,0.333,0.702
0.027,-0.439,0.434,0.327,0.698
0.030,-0.434,0.436,0.310,0.688
0.033,-0.437,0.446,0.312,0.698
0.035,-0.450,0.457,0.307,0.711
0.037,-0.458,0.468,0.308,0.724
0.040,-0.468,0.473,0.314,0.736
0.042,-0.487,0.480,0.317,0.753
0.045,-0.508,0.490,0.330,0.779
0.047,-0.531,0.502,0.353,0.812
0.050,-0.561,0.515,0.386,0.853
0.052,-0.594,0.523,0.432,0.902
0.055,-0.641,0.527,0.475,0.956
0.057,-0.664,0.540,0.535,1.009
0.059,-0.696,0.548,0.588,1.063
0.062,-0.717,0.548,0.649,1.112
0.064,-0.737,0.543,0.697,1.150
0.068,-0.736,0.551,0.748,1.185
0.069,-0.751,0.541,0.789,1.216
0.072,-0.743,0.539,0.808,1.223
0.074,-0.736,0.535,0.830,1.231
0.077,-0.724,0.526,0.849,1.234
0.079,-0.707,0.509,0.850,1.217
0.082,-0.698,0.496,0.859,1.214
0.084,-0.680,0.488,0.866,1.205
0.087,-0.658,0.484,0.858,1.185
0.089,-0.640,0.473,0.839,1.157
0.092,-0.617,0.469,0.813,1.123
0.094,-0.607,0.471,0.801,1.109
0.096,-0.597,0.458,0.766,1.074
0.100,-0.596,0.464,0.746,1.062
0.102,-0.594,0.454,0.715,1.035
0.104,-0.607,0.451,0.685,1.021
0.106,-0.608,0.439,0.656,0.996
0.109,-0.623,0.432,0.632,0.987
0.111,-0.620,0.421,0.596,0.957
0.114,-0.621,0.430,0.571,0.947
0.117,-0.613,0.424,0.539,0.920
0.119,-0.598,0.421,0.515,0.894
0.121,-0.592,0.416,0.495,0.877
0.124,-0.572,0.423,0.469,0.852
0.126,-0.558,0.427,0.449,0.833
0.129,-0.554,0.431,0.430,0.823
0.132,-0.555,0.435,0.409,0.815
0.134,-0.555,0.433,0.402,0.811
0.136,-0.551,0.436,0.378,0.798
0.139,-0.543,0.428,0.357,0.778
0.141,-0.537,0.428,0.354,0.772
0.143,-0.525,0.421,0.344,0.756
0.146,-0.513,0.413,0.322,0.733
0.148,-0.503,0.409,0.314,0.721
0.151,-0.487,0.418,0.309,0.712
0.153,-0.475,0.408,0.319,0.703
0.156,-0.462,0.410,0.337,0.704
0.158,-0.461,0.401,0.353,0.705
0.161,-0.447,0.397,0.380,0.709
0.163,-0.439,0.397,0.394,0.711
0.166,-0.427,0.404,0.413,0.718
0.168,-0.412,0.415,0.441,0.732
